井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B
大页1H1-1,NS519,PDC,444.50,宝石机械,复合钻进,2024-11-11,1,沙二段~沙二段,60,1001,941,93,10.12,1.14,50~170,50~50,50~15,13~15,沙二段,沙二段,50,170,50,50,50,15,13,15
大页1H1-1,NS516,PDC,311.20,宝石机械,顶驱钻,2024-11-22,1,沙二段~沙二段,1001,1006,5,0,10,1.15,5~10,50~60,55~13,12~13,沙二段,沙二段,5,10,50,60,55,13,12,13
大页1H1-1,NS516,PDC,311.20,宝石机械,复合钻进,2024-11-23,1,沙二段~凉上段,1006,1890,884,152.08,5.81,1.35,120~150,55~60,55~15.4,13.5~15.4,沙二段,凉上段,120,150,55,60,55,15.4,13.5,15.4
大页1H1-1,NS516,PDC,311.20,宝石机械,复合钻进,2024-12-02,1,须六段~须六段,1890,2333,443,68.28,6.48,1.37,160~180,60~65,60~16,8~16,须六段,须六段,160,180,60,65,60,16,8,16
大页1H1-1,ES1656TEU/S323,PDC,311.20,亿斯达,复合钻进,2024-12-07,1,须六段~须一段,2333,2640,307,94.50,3.25,1.38,160~180,45~45,50~20,19~20,须六段,须一段,160,180,45,45,50,20,19,20
大页1H1-1,ES1655EL,PDC,311.20,亿斯达,复合钻进,2024-12-13,1,雷五段~嘉五2段,2640,2890,250,61,4.09,1.36,150~160,45~45,50~18,16~18,雷五段,嘉五2段,150,160,45,45,50,18,16,18
大页1H1-1,HS5164BS,PDC,311.20,惠灵丰,复合钻进,2024-12-19,1,嘉五2段~嘉二3段,2890,3378,488,57.50,8.49,1.37,150~200,45~46,55~21,20~21,嘉五2段,嘉二3段,150,200,45,46,55,21,20,21
大页1H1-1,HS5164BS,PDC,311.20,惠灵丰,复合钻进,2024-12-23,1,嘉五2段~嘉一段,3378,3704,326,62.50,5.20,1.40,15~200,45~45,52.4~21,19.6~21,嘉五2段,嘉一段,15,200,45,45,52.4,21,19.6,21
大页1H1-1,HS5164BS,PDC,311.20,惠灵丰,复合钻进,2024-12-28,1,嘉一段~飞一段,3704,4098,394,34.50,11.42,1.39,160~180,45~45,50~24,20.1~24,嘉一段,飞一段,160,180,45,45,50,24,20.1,24
大页1H1-1,TK66,PDC,215.90,NOV,复合钻进,2025-01-10,1,沙一段~吴家坪组,4098,4641,543,105,5.07,1.85,100~180,60~80,32~29,25~29,沙一段,吴家坪组,100,180,60,80,32,29,25,29
