序号,井号,钻头型号,钻头类别,钻头尺寸mm,生产厂家,钻进方式,入井时间,入井次数,地层信息,起始井深,结束井深,进尺,纯钻时间,机械钻速,钻井液密度,钻压,转速,排量,泵压,起始地层,结束地层,钻压A,钻压B,转速A,转速B,排量A,排量B,泵压A,泵压B,进尺命中率
1,大页1H1-1,NS519,PDC,444.5,宝石机械,复合钻进,2024-11-11,1,沙二段~沙二段,60.0,1001.0,941.0,93.0,10.12,1.14,50~170,50~50,50~15,13~15,沙二段,沙二段,50.0,170.0,50.0,50.0,50.0,15.0,13.0,15.0,1.0
2,大页1H1-1,NS516,PDC,311.2,宝石机械,顶驱钻,2024-11-22,1,沙二段~沙二段,1001.0,1006.0,5.0,0.0,10.0,1.15,5~10,50~60,55~13,12~13,沙二段,沙二段,5.0,10.0,50.0,60.0,55.0,13.0,12.0,13.0,1.0
3,大页1H1-1,NS516,PDC,311.2,宝石机械,复合钻进,2024-11-23,1,沙二段~凉上段,1006.0,1890.0,884.0,152.08,5.81,1.35,120~150,55~60,55~15.4,13.5~15.4,沙二段,凉上段,120.0,150.0,55.0,60.0,55.0,15.4,13.5,15.4,1.0
4,大页1H1-1,NS516,PDC,311.2,宝石机械,复合钻进,2024-12-02,1,须六段~须六段,1890.0,2333.0,443.0,68.28,6.48,1.37,160~180,60~65,60~16,8~16,须六段,须六段,160.0,180.0,60.0,65.0,60.0,16.0,8.0,16.0,1.0
5,大页1H1-1,ES1656TEU/S323,PDC,311.2,亿斯达,复合钻进,2024-12-07,1,须六段~须一段,2333.0,2640.0,307.0,94.5,3.25,1.38,160~180,45~45,50~20,19~20,须六段,须一段,160.0,180.0,45.0,45.0,50.0,20.0,19.0,20.0,1.0
6,大页1H1-1,ES1655EL,PDC,311.2,亿斯达,复合钻进,2024-12-13,1,雷五段~嘉五2段,2640.0,2890.0,250.0,61.0,4.09,1.36,150~160,45~45,50~18,16~18,雷五段,嘉五2段,150.0,160.0,45.0,45.0,50.0,18.0,16.0,18.0,1.0
7,大页1H1-1,HS5164BS,PDC,311.2,惠灵丰,复合钻进,2024-12-19,1,嘉五2段~嘉二3段,2890.0,3378.0,488.0,57.5,8.49,1.37,150~200,45~46,55~21,20~21,嘉五2段,嘉二3段,150.0,200.0,45.0,46.0,55.0,21.0,20.0,21.0,1.0
8,大页1H1-1,HS5164BS,PDC,311.2,惠灵丰,复合钻进,2024-12-23,1,嘉五2段~嘉一段,3378.0,3704.0,326.0,62.5,5.2,1.4,15~200,45~45,52.4~21,19.6~21,嘉五2段,嘉一段,15.0,200.0,45.0,45.0,52.4,21.0,19.6,21.0,1.0
9,大页1H1-1,HS5164BS,PDC,311.2,惠灵丰,复合钻进,2024-12-28,1,嘉一段~飞一段,3704.0,4098.0,394.0,34.5,11.42,1.39,160~180,45~45,50~24,20.1~24,嘉一段,飞一段,160.0,180.0,45.0,45.0,50.0,24.0,20.1,24.0,1.0
10,大页1H1-1,TK66,PDC,215.9,NOV,复合钻进,2025-01-10,1,沙一段~吴家坪组,4098.0,4641.0,543.0,105.0,5.07,1.85,100~180,60~80,32~29,25~29,沙一段,吴家坪组,100.0,180.0,60.0,80.0,32.0,29.0,25.0,29.0,1.0
11,大页1H1-1,DD505VSX,PDC,215.9,贝克休斯,复合钻进,2025-01-18,1,吴家坪组~吴家坪组,4641.0,4995.0,354.0,32.5,10.89,1.9,100~120,60~80,30~30.7,29~30.7,吴家坪组,吴家坪组,100.0,120.0,60.0,80.0,30.0,30.7,29.0,30.7,1.0
12,大页1H1-1,DD505VXS,PDC,215.9,贝克休斯,复合钻进,2025-01-23,1,吴家坪组~吴家坪组,4995.0,5671.0,676.0,78.5,8.61,1.9,80~150,70~80,32.6~32,32~32,吴家坪组,吴家坪组,80.0,150.0,70.0,80.0,32.6,32.0,32.0,32.0,1.0
13,大页1H1-1,SD9642B,PDC,660.4,中成,顶驱钻,2024-11-09,1,沙二段~沙二段,0.0,60.0,60.0,4.0,15.0,1.05,30~40,60~60,70~3.5,3.5~3.5,沙二段,沙二段,30.0,40.0,60.0,60.0,70.0,3.5,3.5,3.5,1.0
14,大页1H1-1,DD505VXS,PDC,215.9,贝克休斯,复合钻进,2025-01-30,1,吴家坪组~吴家坪组,5671.0,6495.0,824.0,84.0,9.8,1.9,10~90,40~71,32~32,31~32,吴家坪组,吴家坪组,10.0,90.0,40.0,71.0,32.0,32.0,31.0,32.0,1.0
15,大页1H1-2,TS516,PDC,444.5,成都百施特,复合钻进,2024-08-01,3,沙溪庙组~沙溪庙组,598.5,1003.0,404.5,29.0,13.95,1.12,180~180,60~60,75~20,20~20,沙溪庙组,沙溪庙组,180.0,180.0,60.0,60.0,75.0,20.0,20.0,20.0,1.0
16,大页1H1-2,TS516,PDC,311.2,成都百施特,复合钻进,2024-08-09,1,沙溪庙~须家河组,1003.0,2333.5,1330.5,177.0,7.52,1.2,140~160,60~70,60~20,17~20,沙溪庙,须家河组,140.0,160.0,60.0,70.0,60.0,20.0,17.0,20.0,1.0
