地层名称,所属层位,顶界所处位置（0~1）,底界所处位置（0~1）
沙溪庙zu,沙溪庙组,0.0,1.0
沙二段,沙溪庙组,0.21,0.63
沙溪庙组,沙溪庙组,0.0,1.0
沙溪庙,沙溪庙组,0.0,1.0
凉下段,凉高山组,0.5,1.0
凉上段,凉高山组,0.55,0.96
须六段,自流井组,0.96,0.2
自流井组,须家河组,0.03,0.03
须四段,须家河组,0.39,0.39
须家河组,须家河组,0.18,0.84
须一段,须家河组,0.87,0.87
雷五段,雷口坡组,0.87,0.25
雷一1段,雷口坡组,0.25,0.25
雷口坡组,雷口坡组,0.89,0.25
嘉五2段,嘉四段,0.58,0.64
嘉四段,嘉三段,0.33,0.33
嘉三段,嘉二3亚段,0.92,0.75
嘉陵江组,嘉二3亚段,0.06,0.98
嘉二3段,嘉二2亚段,0.19,0.36
嘉二1段,嘉一段,0.87,0.55
嘉一,嘉一段,0.79,0.33
嘉二2段,嘉一段,0.35,0.55
嘉一段,嘉一段,0.36,0.66
飞三,飞仙关组,0.44,0.44
沙一段,飞仙关组,0.45,0.45
飞三段,飞仙关组,0.35,0.83
飞仙关组,飞仙关组,0.44,0.73
大隆组,大隆组,0.99,0.08
飞一段,吴家坪组,0.45,-1.0
吴家坪,吴家坪组,0.0,-1.0
吴家坪组,吴家坪组,0.03,-1.0
