地层名称,最大深度,最小深度,平均深度,统计频数,所属层位,顶界所处位置（0~1）,底界所处位置（0~1）,备注
沙溪庙zu,52.0,52.0,52.0,1,沙溪庙组,0.03,0.03,
沙二段,1642.87,0.0,554.04,20,沙溪庙组,0.0,0.98,
沙溪庙组,2252.2,0.0,607.72,60,沙溪庙组,0.0,0.03,
沙溪庙,1003.0,518.0,760.5,2,沙溪庙组,0.31,0.6,
凉下段,1642.87,1642.87,1642.87,1,沙溪庙组,0.98,0.98,
凉上段,1890.0,1794.0,1826.0,3,凉高山组,0.55,0.96,
须六段,2333.0,1890.0,2233.6,5,自流井组,0.96,0.2,
自流井组,2252.2,2252.2,2252.2,1,须家河组,0.03,0.03,
须四段,2422.0,2422.0,2422.0,2,须家河组,0.39,0.39,
须家河组,2917.0,2322.7,2528.99,17,须家河组,0.18,0.84,
须一段,2640.0,2640.0,2640.0,1,须家河组,0.87,0.87,
雷五段,2733.0,2640.0,2705.75,4,雷口坡组,0.87,0.25,
雷一1段,2733.0,2733.0,2733.0,1,雷口坡组,0.25,0.25,
雷口坡组,3171.0,2650.0,2812.36,15,雷口坡组,0.89,0.25,
嘉五2段,3378.0,2890.0,3052.67,3,嘉四段,0.58,0.64,
嘉四段,3187.06,3187.06,3187.06,2,嘉三段,0.33,0.33,
嘉三段,3386.67,3309.13,3347.9,4,嘉二3亚段,0.92,0.75,
嘉陵江组,3798.0,3131.0,3404.99,7,嘉二3亚段,0.06,0.98,
嘉二3段,3614.0,3341.6,3409.8,18,嘉二2亚段,0.19,0.36,
嘉二1段,3671.2,3475.0,3524.05,4,嘉一段,0.87,0.55,
嘉一,3604.7,3504.0,3537.57,3,嘉一段,0.79,0.33,
嘉二2段,3671.2,3611.85,3631.63,3,嘉一段,0.35,0.55,
嘉一段,3704.0,3614.0,3674.0,3,嘉一段,0.36,0.66,
飞三,4088.0,4088.0,4088.0,1,飞仙关组,0.44,0.44,
沙一段,4098.0,4098.0,4098.0,1,飞仙关组,0.45,0.45,
飞三段,4347.0,4030.0,4168.15,13,飞仙关组,0.35,0.83,
飞仙关组,4276.0,4088.0,4187.25,12,飞仙关组,0.44,0.73,
大隆组,4717.0,4447.7,4590.98,7,大隆组,0.99,0.08,
飞一段,6680.0,4098.0,4962.13,7,吴家坪组,0.45,-1.0,
吴家坪,6660.0,4601.46,5459.95,10,吴家坪组,0.0,-1.0,
吴家坪组,6975.0,4641.0,5699.4,57,吴家坪组,0.03,-1.0,
